epoch,loss
0,7.461876
1,6.739327
2,6.466875
3,6.350462
4,6.250868
5,6.209841
6,6.175300
7,6.123841
8,6.083988
9,6.066827
10,6.029834
11,6.011148
12,5.981817
13,5.986523
14,5.983495
15,5.953722
16,5.949422
17,5.943800
18,5.910392
19,5.916217
20,5.908206
21,5.916801
22,5.900768
23,5.884939
24,5.884054
25,5.880124
26,5.870376
27,5.877790
28,5.874338
29,5.857386
30,5.868082
31,5.853685
32,5.843919
33,5.853955
34,5.850645
35,5.835540
36,5.829652
37,5.828198
38,5.842455
39,5.826967
40,5.823719
41,5.826835
42,5.816168
43,5.832406
44,5.820399
45,5.826833
46,5.815449
47,5.829672
48,5.819305
49,5.823289
50,5.819795
51,5.812983
52,5.801277
53,5.796355
54,5.822184
55,5.806620
56,5.811107
57,5.794114
58,5.796107
59,5.807116
60,5.787295
61,5.809472
62,5.799554
63,5.805593
64,5.791536
65,5.784060
