key,category,model_id,cd_pred,cd_noisy,cd_score,p2s_pred,p2s_noisy,p2s_score
02691156/14c954d5d3c8e954b6b87e72ead132ed,02691156,14c954d5d3c8e954b6b87e72ead132ed,6.513541931460061e-05,0.0002359739594067963,72.39720031890747,1.8942542737931944e-05,0.0001804855710361153,89.50467750458483
02691156/1d4f988b009edadf54a2210c7b2aa25,02691156,1d4f988b009edadf54a2210c7b2aa25,7.820012875150748e-05,0.0002459945523114409,68.21062579771996,1.4478557204711251e-05,0.0001687265612417832,91.41892236874095
02691156/47006ce926cd5519b3f2b01de37c0b29,02691156,47006ce926cd5519b3f2b01de37c0b29,0.00016528652256718283,0.0006275806361757916,73.66290273479942,0.00010848994133993983,0.0005629503866657615,80.72832990088109
02691156/5678fc24603d25cb74745e8fbb11e3df,02691156,5678fc24603d25cb74745e8fbb11e3df,4.682706799173507e-05,9.386649796278278e-05,50.11311915535448,1.0877539352804888e-05,5.75700105400756e-05,81.1055456638612
02691156/845364350601ca0cbdf0b44e2f8f4e6d,02691156,845364350601ca0cbdf0b44e2f8f4e6d,0.0001406606026091593,0.0005755987207361117,75.5627318925807,8.046761649893597e-05,0.0005047041922807693,84.05647947259938
02691156/8b0d9118e9e7dc3f95c9af648ce95367,02691156,8b0d9118e9e7dc3f95c9af648ce95367,7.587674259051786e-05,0.00022979791523423655,66.98110054080537,1.5633782822987996e-05,0.00015886203618720174,90.15889308848763
02871439/a98efeb82eabc760defc4117d86acef0,02871439,a98efeb82eabc760defc4117d86acef0,0.0001648351641834862,0.00041073387101225536,59.86813462029581,1.3537642189476173e-05,0.00023613954544998705,94.26710076718456
03642806/df624231ef05b83d54c7ab6aa5674ccc,03642806,df624231ef05b83d54c7ab6aa5674ccc,0.0001348689446172539,0.0006621565142007117,79.63186320381458,4.170912870904431e-05,0.0005578255513682961,92.52290817322091
04256520/61d93b7c3e83541c81dff5c2e57ad46e,04256520,61d93b7c3e83541c81dff5c2e57ad46e,9.139666767204649e-05,0.000443124082511212,79.37447516864896,2.2989783246885054e-05,0.0003500586608424783,93.43259121441073
04256520/946ab73b9f05a85ad5b24cafb84903c7,04256520,946ab73b9f05a85ad5b24cafb84903c7,0.00010699702801756619,0.0006826259085893735,84.32567140050801,2.713089997996576e-05,0.0005642916657961905,95.19204311804158
04256520/ef05b57542cbf151e7e684d25d4dcaf0,04256520,ef05b57542cbf151e7e684d25d4dcaf0,0.00015586722871502317,0.0005272262848735684,70.43636988766579,3.0122142561594956e-05,0.0003752773627638817,91.97336542237767
04379243/114377fc17eceaae3e12d7ebda60f8f,04379243,114377fc17eceaae3e12d7ebda60f8f,0.0001077842350949609,0.0006295729673393396,82.87978666706869,2.0113608115934767e-05,0.0005004860577173531,95.98118512877859
04379243/38b5da2eb70009d6c045ebb62fca20c6,04379243,38b5da2eb70009d6c045ebb62fca20c6,8.873954001944225e-05,0.00025739301167403557,65.523718207306,1.634768705116585e-05,0.00017691873654257506,90.75977628450234
04379243/3f756d8d35b51ad629e4b5aa807bb4e7,04379243,3f756d8d35b51ad629e4b5aa807bb4e7,0.00021326855263300193,0.00029671881867369005,28.124359086391713,3.347499296069145e-05,0.0001606411678949371,79.16163496608488
04379243/47008a5646d3d84d85969b141e43f51,04379243,47008a5646d3d84d85969b141e43f51,8.552062828521763e-05,0.000122004713191445,29.903832361769478,1.544163387734443e-05,5.447316652862355e-05,71.65276986563569
04379243/4afbcdeba648df2e19fb4103277a6b93,04379243,4afbcdeba648df2e19fb4103277a6b93,8.022646164328911e-05,0.00013465089249513817,40.41891579278924,8.537100256944541e-06,5.506122761289589e-05,84.49525986422964
04379243/6ec67ee0e57282c01e6058fbce2703bb,04379243,6ec67ee0e57282c01e6058fbce2703bb,0.0001338595143659089,0.00021459130776318156,37.62118523755239,1.8392171114101075e-05,0.00010135490447282791,81.85369399757877
04379243/741b91f2187d54792d4fd2b0f2040d45,04379243,741b91f2187d54792d4fd2b0f2040d45,6.821205620783074e-05,0.0002391546693376729,71.47784887631896,2.6730642275651917e-05,0.0001915364118758589,86.0440936457675
04379243/795baddfac35711a30e44a4c4faa2773,04379243,795baddfac35711a30e44a4c4faa2773,0.0001043709145470791,0.0005399192167496219,80.66916099497172,1.969396907952614e-05,0.000412133929785341,95.22146378732184
04379243/91dbfe4dac593d3e35836c728d324152,04379243,91dbfe4dac593d3e35836c728d324152,6.936909779769956e-05,0.00012833235043957538,45.94574356341923,1.3594293704954907e-05,7.213255594251677e-05,81.15373352943662
04379243/93e81005c19a74b8664b3b9b23ddfcbc,04379243,93e81005c19a74b8664b3b9b23ddfcbc,0.00011875550310915295,0.00036293821467101847,67.27941608000755,2.3612210497958586e-05,0.000249208853347227,90.52513175964127
04379243/bb201d4811ab271ecf5469d07a8db811,04379243,bb201d4811ab271ecf5469d07a8db811,0.0001025700182450396,0.0006186867738447744,83.42133328507619,4.150614404352382e-05,0.000533061393070966,92.21362781416096
04379243/c153d0d6b4fcf74f54a61dbdbc1ac262,04379243,c153d0d6b4fcf74f54a61dbdbc1ac262,0.00013809387511832182,0.00029558818237508726,53.281665725361336,1.7442946045775898e-05,0.00016245967708528042,89.26321511976198
04379243/c9b834aeda78274029edbf57bdd3b0af,04379243,c9b834aeda78274029edbf57bdd3b0af,7.904069759535186e-05,0.0003178785146178817,75.13493553020851,1.4290600120148156e-05,0.00022778556740377098,93.72629254652611
04379243/d63496bc51de5d77e3837ef7356e7613,04379243,d63496bc51de5d77e3837ef7356e7613,0.00010137006034816745,0.0006690223013715502,84.84802970837436,3.106010990450159e-05,0.0005753434379585087,94.60146621038868
04379243/edba7eb533ae3578ece232edf44331c7,04379243,edba7eb533ae3578ece232edf44331c7,0.00012739518303584007,0.0004570616314310379,72.12735126399214,1.7868864233605564e-05,0.00031703736749477684,94.3637986983033
04379243/fb89493e6389039527d4fc401a34f3de,04379243,fb89493e6389039527d4fc401a34f3de,8.34192953289038e-05,0.0004745631777552883,82.42187779433668,2.6852698283619247e-05,0.0004031919816043228,93.33997214508808
04401088/3ff176780a009cd93b61739f3c4d4342,04401088,3ff176780a009cd93b61739f3c4d4342,0.00012571142736471532,0.00010747124994685224,0.0,4.406354855746031e-05,5.346524267224595e-05,17.58468426379387
04468005/40fcd2ccc96b3fbd041917556492646,04468005,40fcd2ccc96b3fbd041917556492646,0.00017386555286325907,0.0004284693816060087,59.42170891848371,0.0001312815147684887,0.0003833032096736133,65.74995683436194
04468005/b5be8fd2d66546f452470de2774d6099,04468005,b5be8fd2d66546f452470de2774d6099,7.943998008672496e-05,0.00020135712747136646,60.54771882955991,1.3904627849115059e-05,0.0001276907860301435,89.1107038484103
