key,category,model_id,cd_pred,cd_noisy,cd_score,p2s_pred,p2s_noisy,p2s_score
02691156/14c954d5d3c8e954b6b87e72ead132ed,02691156,14c954d5d3c8e954b6b87e72ead132ed,6.458654451987286e-05,0.0002359739594067963,72.6298000498725,2.2028665625839494e-05,0.0001804855710361153,87.7947774443246
02691156/1d4f988b009edadf54a2210c7b2aa25,02691156,1d4f988b009edadf54a2210c7b2aa25,7.29760069004213e-05,0.0002459945523114409,70.33429959537064,1.479943239246495e-05,0.0001687265612417832,91.22874769476424
02691156/47006ce926cd5519b3f2b01de37c0b29,02691156,47006ce926cd5519b3f2b01de37c0b29,0.00018124984381232565,0.0006275806361757916,71.11927402400673,0.00012836561654694378,0.0005629503866657615,77.19770345887375
02691156/5678fc24603d25cb74745e8fbb11e3df,02691156,5678fc24603d25cb74745e8fbb11e3df,4.195696689660055e-05,9.386649796278278e-05,55.30144640824237,1.0682437277864665e-05,5.75700105400756e-05,81.44444098993449
02691156/845364350601ca0cbdf0b44e2f8f4e6d,02691156,845364350601ca0cbdf0b44e2f8f4e6d,0.00015314011206602523,0.0005755987207361117,73.39463995504019,9.738367225509137e-05,0.0005047041922807693,80.70480219016758
02691156/8b0d9118e9e7dc3f95c9af648ce95367,02691156,8b0d9118e9e7dc3f95c9af648ce95367,6.879573279894926e-05,0.00022979791523423655,70.06250786530212,1.4687258953927085e-05,0.00015886203618720174,90.75470810620875
02871439/a98efeb82eabc760defc4117d86acef0,02871439,a98efeb82eabc760defc4117d86acef0,0.0001566714475714617,0.00041073387101225536,61.8557273629895,1.7094776922021993e-05,0.00023613954544998705,92.76073099512145
03642806/df624231ef05b83d54c7ab6aa5674ccc,03642806,df624231ef05b83d54c7ab6aa5674ccc,0.00013360004226526436,0.0006621565142007117,79.82349498946894,5.024655183660798e-05,0.0005578255513682961,90.99242555071963
04256520/61d93b7c3e83541c81dff5c2e57ad46e,04256520,61d93b7c3e83541c81dff5c2e57ad46e,9.440437512262322e-05,0.000443124082511212,78.69572455019197,2.9531669497373514e-05,0.0003500586608424783,91.56379407202773
04256520/946ab73b9f05a85ad5b24cafb84903c7,04256520,946ab73b9f05a85ad5b24cafb84903c7,9.29526879880853e-05,0.0006826259085893735,86.38307060741816,2.2970432837610133e-05,0.0005642916657961905,95.92933331645084
04256520/ef05b57542cbf151e7e684d25d4dcaf0,04256520,ef05b57542cbf151e7e684d25d4dcaf0,0.00015346375274648887,0.0005272262848735684,70.89224169024686,3.671070953714661e-05,0.0003752773627638817,90.21771276935657
04379243/114377fc17eceaae3e12d7ebda60f8f,04379243,114377fc17eceaae3e12d7ebda60f8f,9.467877888526376e-05,0.0006295729673393396,84.96142881016809,1.4874332009640057e-05,0.0005004860577173531,97.02802270307393
04379243/38b5da2eb70009d6c045ebb62fca20c6,04379243,38b5da2eb70009d6c045ebb62fca20c6,8.060545250689345e-05,0.00025739301167403557,68.68390016393576,1.6380294255213812e-05,0.00017691873654257506,90.74134567354209
04379243/3f756d8d35b51ad629e4b5aa807bb4e7,04379243,3f756d8d35b51ad629e4b5aa807bb4e7,0.00018568562808527,0.00029671881867369005,37.42033993149803,3.444341564318165e-05,0.0001606411678949371,78.55878658345637
04379243/47008a5646d3d84d85969b141e43f51,04379243,47008a5646d3d84d85969b141e43f51,7.130206857480754e-05,0.000122004713191445,41.55793927163851,1.0623961316014174e-05,5.447316652862355e-05,80.49689050033159
04379243/4afbcdeba648df2e19fb4103277a6b93,04379243,4afbcdeba648df2e19fb4103277a6b93,7.432685993088588e-05,0.00013465089249513817,44.80032136915128,7.218808150355471e-06,5.506122761289589e-05,86.88948927708842
04379243/6ec67ee0e57282c01e6058fbce2703bb,04379243,6ec67ee0e57282c01e6058fbce2703bb,0.0001219642974249878,0.00021459130776318156,43.16438130868515,1.8811600966728292e-05,0.00010135490447282791,81.43987105057016
04379243/741b91f2187d54792d4fd2b0f2040d45,04379243,741b91f2187d54792d4fd2b0f2040d45,7.005506717153848e-05,0.0002391546693376729,70.70721330026608,3.1234289053827524e-05,0.0001915364118758589,83.69276695332921
04379243/795baddfac35711a30e44a4c4faa2773,04379243,795baddfac35711a30e44a4c4faa2773,0.0001088212649422636,0.0005399192167496219,79.84489872440908,2.5806150006246753e-05,0.000412133929785341,93.7384068281668
04379243/91dbfe4dac593d3e35836c728d324152,04379243,91dbfe4dac593d3e35836c728d324152,5.630311008497945e-05,0.00012833235043957538,56.1271106684129,9.125839824264403e-06,7.213255594251677e-05,87.34851454378396
04379243/93e81005c19a74b8664b3b9b23ddfcbc,04379243,93e81005c19a74b8664b3b9b23ddfcbc,0.00010850028172668858,0.00036293821467101847,70.10502687763605,2.2920385163160972e-05,0.000249208853347227,90.80274041017893
04379243/bb201d4811ab271ecf5469d07a8db811,04379243,bb201d4811ab271ecf5469d07a8db811,0.00011902444846621115,0.0006186867738447744,80.76175966611598,5.8790821640286595e-05,0.000533061393070966,88.97109743746536
04379243/c153d0d6b4fcf74f54a61dbdbc1ac262,04379243,c153d0d6b4fcf74f54a61dbdbc1ac262,0.00012960932473632863,0.00029558818237508726,56.152061393354145,1.7091955669457093e-05,0.00016245967708528042,89.47926280778894
04379243/c9b834aeda78274029edbf57bdd3b0af,04379243,c9b834aeda78274029edbf57bdd3b0af,7.04217406525212e-05,0.0003178785146178817,77.84633518337205,1.0781086530187167e-05,0.00022778556740377098,95.26700192068066
04379243/d63496bc51de5d77e3837ef7356e7613,04379243,d63496bc51de5d77e3837ef7356e7613,0.00010749513141203995,0.0006690223013715502,83.93250401493849,4.191114567220211e-05,0.0005753434379585087,92.71545603771628
04379243/edba7eb533ae3578ece232edf44331c7,04379243,edba7eb533ae3578ece232edf44331c7,0.00012098656449166246,0.0004570616314310379,73.5294857035233,1.851558954513166e-05,0.00031703736749477684,94.15980845051752
04379243/fb89493e6389039527d4fc401a34f3de,04379243,fb89493e6389039527d4fc401a34f3de,8.822834344338072e-05,0.0004745631777552883,81.40851469751489,3.578939140425064e-05,0.0004031919816043228,91.12348631988098
04401088/3ff176780a009cd93b61739f3c4d4342,04401088,3ff176780a009cd93b61739f3c4d4342,6.978560982303305e-05,0.00010747124994685224,35.06578749428881,1.6331445294781588e-05,5.346524267224595e-05,69.45408927647247
04468005/40fcd2ccc96b3fbd041917556492646,04468005,40fcd2ccc96b3fbd041917556492646,0.00019395352908176632,0.0004284693816060087,54.73339813575926,0.00015305831038858742,0.0003833032096736133,60.06860716900384
04468005/b5be8fd2d66546f452470de2774d6099,04468005,b5be8fd2d66546f452470de2774d6099,7.493868300436228e-05,0.00020135712747136646,62.78319821829066,1.5270390576915815e-05,0.0001276907860301435,88.04111788198172
